s1, 70, 60, 50
s2, 60, 60, 70
s3, 90, 60, 50 
c160, 20, 18,  6, 8
c161, 25, 18,  6, 8
c162, 31, 18,  9, 8
c163, 31, 18,  38, 8
c164, 26, 18,  6, 8
c165, 35, 18,  15, 8
c166, 24, 18,  29, 8
s5, 55, 99,  87
c167, 1, 18,  8
c168, 5, 18,  8
c169, 11, 18,  8
c170, 1, 18,  8
c171, 23, 18,  8
c172, 40, 18,  8
c173, 33, 18,  8
c174, 37, 18,  8
c175, 31, 18,  8
c176, 9, 18,  8
c177, 7, 18,  8
c178, 28, 18,  8
c179, 6, 18,  8
c180, 6, 18,  9
c181, 26, 18,  9
c182, 25, 18,  9
c183, -3, 18,  9
c184, 32, 18,  9
c185, 28, 18,  9
c186, 28, 18,  9
c187, 7, 18,  9
c188, 37, 18,  9
c189, 28, 18,  9
c190, 29, 18,  9
c191, 20, 18,  9
c192, 17, 18,  9
c193, 11, 18,  9
c194, -2, 18,  9
c195, 11, 18,  9
c196, 10, 18,  9
c197, 34, 18,  9
